l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 FEDERATION_ADVANCEMENT_BTN1:0 "Sweet"
 FEDERATION_ADVANCEMENT_BTN2:0 "Great"
 FEDERATION_ADVANCEMENT_BTN3:0 "Перейти"
 FEDERATION_LEADER_CULTURE:0 "Their culture is $CULTURE|Y$."
 FEDERATION_CURRENT_MEMBERS_ARE:0 "Current members are: $MEMBERS$"
 FEDERATION_NO_CURRENT_MEMBERS:0 "There are no current members, it will be a new Federation."
 UPGRADE_GREAT_PROJECT_COST:0 "Starts the upgrade of the $TYPE$ $NAME|Y$ for $COST|Y$¤."
 ALL_OTHER_TREATIES_COST:0 "$COST$ Cost for all other treaties."
 CENTRE_OF_TRADE_UPGRADE:0 "Centre of Trade Upgrade"
 CANNOT_CONSOLIDATE_DEV_STATE:0 "You can only concentrate development from your territories, not states"
 RELEASE_CULTURE:0 "They will have §Y$CULTURE$§! culture."
 CALL_CHECKBOX_WILL_CALL_SUBJECT:0 "Your $SUBJECTTYPE$ §Y$COUNTRY$§! will be called into your war against §Y$TARGET$§!."
 CALL_CHECKBOX_WILL_NOT_CALL_SUBJECT:0 "Your $SUBJECTTYPE$ §Y$COUNTRY$§! will NOT be called into your war against §Y$TARGET$§!."
 HAVE_EXTENDED_REGENCY:0 "Have an extended Regency"
 HAVENT_EXTENDED_REGENCY:0 "Haven't got an extended Regency"
 CANT_BUILD_FLAGSHIP_NO_TECH:0 "Your technology level does not allow you to build a flagship."
 estate_bribe:0 "Placate $ESTATE$"
 should_migrate_instant:0 "Tribe should migrate"
 should_migrate_delayed:0 "Your capital's Devastation is getting high and you should think about migrating to one of the following provinces:\n$LIST$"
 STATE_INCOME_DEDUCTIONS:0 "...and the following deductions for state maintenance:"
 PATRIARCH_MAP_TT_CANT:0 "$NAME|Y$ cannot get a Metropolitan."
 CANNOT_FORCE_TRIBUTARY_SUBJECT_TYPE_DOESNT_ALLOW:0 "$TAKER|Y$ is a $SUBJECTTYPE|Y$, which means they cannot have subjects themselves."
 CONFIRM_CONSOLIDATE_DEVELOPMENT_TEXT_FOR_ANOTHER:0 "Channel development from $NAME$ for $ACTUALTAKER$. This state will lose $DEVELOPMENT|Y$ development. Much of the development lost will end up in the $ACTUALTAKERADJ$ capital, some will be distributed amongst their other states, some will be lost. In total, they will gain $DEVGAINED|Y$ development."
 CANNOT_PILLAGE_NOTHING_TO_PILLAGE:0 "There isn't anything much to pillage."
 CANNOT_CENCENTRATE_DEVELOPMENT_NOTHING_TO_TAKE:0 "There isn't enough development here to take any for ourselves."
 REDUCE_OPINION_CANNOT_FEDERATION:0 "We are in the same Federation as $WHOM$."
 REDUCE_OPINION_CANNOT_TRADE_LEAGUE:0 "We are in the same Trade League as $WHOM$."
 CONFIRM_STOP_DRILLING_TITLE:0 "Confirm stop drilling."
 CONFIRM_STOP_DRILLING_TEXT:0 "Are you sure you wish to stop drilling and attach to $ARMY$?"
 FROM_INSUFFICIENT_SUPPORT:0 "From insufficient support: §R$VALUE$§W"
 gave_away_province:0 "Gave away our province"
 SUPPORT_REBELS_POWER_PROJECTION:0 "Because $WHO|Y$ are our rivals, you will gain $VALUE|Y$ Power Projection."
 LONG_EU3_DATE_STRING:0 "$DD$ $MONTH$ $YYYY$"
 EU3_DATE_STRING:0 "$YYYY$.$MM$.$DD$"
 DASH_EU3_DATE_STRING:0 "$YYYY$_$MM$_$DD$"
 SET_ALL_MESSAGES_TO_POPUP:0 "Click to set all message types to be displayed as a popup."
 SET_ALL_MESSAGES_TO_LOG:0 "Click to set all message types to be displayed in the log."
 SET_ALL_MESSAGES_TO_ONMAP:0 "Click to set all message types to be displayed on the map (if applicable)."
 SET_ALL_MESSAGES_TO_ICON:0 "Click to set all message types to be displayed as a message icon (if applicable)."
 SET_ALL_MESSAGES_TO_POPUPPAUSE:0 "Click to set all message types to be displayed as a popup and pause the game."
 SET_ALL_MESSAGES_TO_NOT_POPUP:0 "Click to stop all message types from being displayed as a popup."
 SET_ALL_MESSAGES_TO_NOT_LOG:0 "Click to stop all message types from being displayed in the log."
 SET_ALL_MESSAGES_TO_NOT_ONMAP:0 "Click to stop all message types from being displayed on the map (if applicable)."
 SET_ALL_MESSAGES_TO_NOT_ICON:0 "Click to stop all message types from being displayed as a message icon (if applicable)."
 SET_ALL_MESSAGES_TO_NOT_POPUPPAUSE:0 "Click to stop all message types from being displayed as a popup and pausing the game."
 can_become_hegemon_instant:0 "§YYou can claim Hegemony!§!"
 can_become_hegemon_type:0 "You can become the $TYPE|Y$."
 ESTATE_AGENDA_TASK_FAIL_CRITERIA:0 "Will fail if the following is fullfilled:\n$CONDITIONS$\n\n"
 CLOSE_MACROBUILDER_TO_USE:0 "You cannot access custom map modes while the macrobuilder is open. Close the macrobuilder to re-enable these."
 KNOWLEDGE_SHARING_ECOVIEW:0 "Knowledge Sharing"
 TRADE_FAVORS_FOR_GOLD_DIPLO_ACTION:0 "Trade Favors For Ducats"
 TRADE_FAVORS_FOR_MEN_DIPLO_ACTION:0 "Trade Favors For Soldiers"
 TRADE_FAVORS_FOR_SAILORS_DIPLO_ACTION:0 "Trade Favors For Sailors"
 TRADE_FAVORS_FOR_HEIR_DIPLO_ACTION:0 "Request Relative as Heir"
 TRADE_FAVORS_FOR_TRUST_DIPLO_ACTION:0 "Trade Favors For Trust"
 TRADE_FAVORS_FOR_WAR_PREP_DIPLO_ACTION:0 "Ask to prepare for War"
 MERCENARY_MANPOWER_TOOLTIP:0 "Manpower Reinforcement Speed: $AMOUNT|Y$ per month"
 regent_female:0 "Regent"
 CONVREL_KINGFORCED_DATE:0 "We have been forced to change religion, and cannot change religion until at least $DATE$."
 CONFIRM_SETTLE:0 "Settle"
 SECEDE_PROV_REDUCE_OPINION_AND_TRUST:0 "$ACTUALGIVER|Y$ will change their opinion of $NEGOTIATORGIVER|Y$ by $OPINION|R$ and change trust by $TRUST|R$."
 HAS_OR_BUILDING_FLAGSHIP:0 "Country has or is building a Flagship"
 HAS_NOT_OR_BUILDING_FLAGSHIP:0 "Country does not have a Flagship and is not building one"
 GREAT_PROJECT_CANNOT_BE_MOVED:0 "$GREATPROJECT|Y$ cannot be moved, it is too large."
 CLAIM_STRENGTH_TOOLTIP:0 "$NAME|Y$ has a claim strength of $VAL|Y$. This will become his Legitimacy when he ascends to the throne."
 CLAIM_STRENGTH_INCREASE_TOOLTIP:0 "Claim strength increases by $AMOUNT|Y$ per month."
 MOVE_GREAT_PROJECT_EXPLANATION:0 "It will cost $CASH|Y$¤ to move $GREATPROJECT|Y$ to your capital. This is based on a distance of $DIST$ and an estimate of $DAYS$ days to move each unit of distance, multiplied by a cost of $COSTPERDAY$¤ per day to move it."
 TRADE_FAVORS_FOR_HEIR_CANNOT_DYNASTY_LOCKED:0 "§Y$COUNTRY$§! cannot have an heir from a different Dynasty."
 TRADE_FAVORS_FOR_HEIR_CANNOT_STATES_GENERAL:0 "§Y$COUNTRY$§! cannot have an heir with $LEFT$ vs $RIGHT$ Mechanics."
 CANNOT_EXTEND_REGENCY_NO_HEIR:0 "You cannot extend a Regency when there is no heir, the Regency will automatically end when appropriate."
 COHESION_NO_NEIGHBOURING_COLONIZER:0 "No colonizers neighbouring federation: $VALUE|+=1$\n"
 COHESION_FEDERATION_NO_MEMBER_STRONGER:0 "No member is stronger than Federation Leader: $VALUE|+=1$\n"
 COHESION_DESC:0 "Federal Cohesion is increased by having members of the same Culture or Cultural Group as the leader, and by having more advanced colonizing neighbours. It is reduced by having nations stronger than the leader and by each advancement made."
 pillaged_a_state_for_us:0 "Pillaged a state for us"
 PAL_REVOLUTIONARY_NAME:0 "The Revolutionary Palatinate"
 PAL_REVOLUTIONARY_SHORT_NAME:0 "The Rev. Palatinate"
 PAP_REVOLUTIONARY_NAME:0 "The Revolutionary Papal State"
 PAP_REVOLUTIONARY_SHORT_NAME:0 "The Rev. Papal State"
 KNI_REVOLUTIONARY_NAME:0 "The Revolutionary Knights"
 KNI_REVOLUTIONARY_SHORT_NAME:0 "The Rev. Knights"
 LOI_REVOLUTIONARY_NAME:0 "The Revolutionary Isles"
 LOI_REVOLUTIONARY_SHORT_NAME:0 "The Rev. Isles"
 colonial_core:0 "Colonial Core"
 RECOMMENDED_DLCS:0 "Recommended DLCs"
 RECOMMENDED_COUNTRIES:0 "Recommended Countries"
 DLC_FEATURES:0 "Features"
 DLC_DESCRIPTION:0 "Description"
 CANNOT_MOVE_GREAT_PROJECT_TOO_BIG:0 "The $GREATPROJECT$ is too big to move."
 NO_REBELS_TO_SUPPORT:0 "There are no rebels in this country that are ready to receive our support."
 AGGRESSIVE_EXPANSION_PRIMITIVES:0 "Primitives"
 LEAVE_FEDERATION_DESC:0 "Leave the Federation."
 INVITE_TO_JOIN_FEDERATION_DESC:0 "Invite to join the Federation."
 KICK_FROM_FEDERATION_DESC:0 "Kick out of the Federation."
 REQUEST_JOIN_ALREADY_LEADER:0 "$WHO|Y$ is already the leader of a Federation."
 ENEMY_INVASION_IMMINENT_NEAR:0 "$UNIT|Y$ near $PLACE|Y$"
 FEDERATION_DESIRABILITY_ALREADY_LEADER_OF_DIFFERENT_FEDERATION:0 "$WHO|Y$ is already leader of $FEDERATION|Y$."
 FEDERATION_DESIRABILITY_STRONGER_THAN_LEADER:0 "$WHO|Y$ is stronger than the Federation leader $LEADER|Y$."
 FEDERATION_DESIRABILITY_DESIRE_TO_STAY_PUT:0 "Desire to stay in $FEDNAME$: "
 LOSE_HEGEMON_STATUS:0 "$WHO|Y$ will lose their Hegemon status."
 ANCESTOR_LEVEL_MOD:0 "Ancestor $NAME$ is $PERSONALITY$"
 ANCESTOR_LEVEL_BONUS:0 "Ancestor $NAME$ level bonus"
 FEDERATION_DESIRABILITY_DONT_WANT_TO_CHANGE:0 "All that paperwork of changing Federation: "
 NO_TRADE_COMPANIES:0 "No Trade Companies"
 CURRENT_GURU:0 "Current Guru"
 NEXT_GURU:0 "Next Guru"
 CURRENT_GURU_DESC:0 "Your country currently gets the following benefits from $NAME$:\n\n$EFFECTS$"
 NEXT_GURU_DESC:1 "When the current Guru retires, $NAME$ will step up to replace him. When he becomes Guru, your country will get the following benefits:\n\n$EFFECTS$"
 PICK_TEACHING_DESC:0 "Add a teaching to permanently affect your country at a cost of some Monarch points."
 IF_CONDITIONS_MET:0 "If the following conditions are met:"
 THEN_THIS:0 "...then these effects will happen:"
 FEDERATION_COOLDOWN:0 "$COUNTRY$ can only join a Federation once every $YEARS|Y$ years.\nThey will be able to do it again in $UNTIL|Y$."
 FEDERATION_LEADER_OPINION:0 "Negative opinion of Federation Leader: "
 COHESION_FEDERATION_MEMBER_STRONGER_WRONG_CULTURE:0 "$NAME|Y$ is stronger than Federation Leader and of a different Culture: $VALUE|+=1$\n"
 COHESION_FEDERATION_SAME_CULTURE_MEMBERS_BONUS:0 "Bonus for $NUM$ members of the same Culture as the Leader: $VAL$\n"
 IS_ALREADY_ANCESTOR_PERSONALITY:0 "We already revere an Ancestor with $PERSONALITY|Y$ attributes."
 COLONY_CHANGES:0 "Colony changes"
 GOODS_CHANGE_RANDOM:0 "New Trade Goods will now be produced in $WHERE|Y$.\n"
 COUNTRY_MISSION_OTHER:0 "This mission is only available to $COUNTRY$."
 CULTURE_ALREADY_SELECTED:0 "$CULTURE|Y$ is already selected"
 SELECT_CULTURE_DESIGNER:0 "Select $CULTURE|Y$ as your Primary Culture"
 CANNOT_CONCENTRATE_DEVELOPMENT_WRONG_SUBJECT_TYPE:0 "$SUBJECTTYPE|Y$ subjects cannot have their development concentrated"
 SELECT_EDICT_FOR_PROVINCE:0 "Select Edict for $PROVINCE$:"
 IF_COLONY_SIZE_IS_X:0 "If the colony has at least $SIZE|Y$ Provinces:"
 active_religious_turmoil:0 "Religious Turmoil"
 CONTINUE_BUTTON_STATS:0 "Return to Game"
 CONDOTTIERI_OFFER_ALLIANCE:0 "§R- You cannot rent out Condottieri to a nation that is at war with a nation that you have an Alliance with.§!"
 HAVE_CONDOTTIERI_WITH:0 "You cannot make an Alliance with a nation that you have Condottieri fighting."
 CANNOT_BUILD_SUPPLY_DEPOT_AT_SEA:0 "It would be crazy to drop a supply depot in the sea."
 CANNOT_AFFORD_GURU_COST:0 "You cannot afford the $POW|Y$ $TYPE$ power needed for this Teaching."
 CANNOT_PICK_TEACHING_NEW_GURU:0 "You cannot select more than one teaching from each Guru."
 GURU_APPOINTED:0 "$GURU|Y$ is made Guru."
 NEW_GURU_SETUP:0 "When a new Guru is appointed."
 NEW_GURU_HEADER:0 "$MESSENGER$"
 NEW_GURU_1:0 "New Guru"
 NEW_GURU_2:0 "$GURU|Y$ has been appointed the new Guru."
 NEW_GURU_3:0 "They bring the following effects:"
 NEW_GURU_4:0 "$EFFECTS$."
 NEW_GURU_LOG:0 "New Guru appointed."
 NEW_GURU_BTN1:0 "Гаразд"
 NEW_GURU_BTN2:0 "Гаразд"
 NEW_GURU_BTN3:0 "Гаразд"
 NO_GURU_SETUP:0 "When no Guru is available."
 NO_GURU_HEADER:0 "$MESSENGER$"
 NO_GURU_1:0 "No Guru"
 NO_GURU_2:0 "Our Religion is lacking a Guru."
 NO_GURU_LOG:0 "No Guru appointed."
 NO_GURU_BTN1:0 "Гаразд"
 NO_GURU_BTN2:0 "Гаразд"
 NO_GURU_BTN3:0 "Гаразд"
 EXTEND_REGENCY_IMPERIAL_AUTHORITY_HIT:0 "Since you are the Emperor, you will also suffer a reduction in Imperial Authority of $IAHIT|Y$."
 ABDICATE_PERFORM_IRO2_NEITHER:0 "There will be a hit of $PRESTIGE_HIT|R$ prestige from this action."
 BREAK_ALLIANCE_COOLDOWN:0 "We can only ask an ally to break an Alliance once every $YEARS|Y$ years.\nThey will be able to do it again in $UNTIL|Y$."
 TRADE_FAVORS_FOR_GOLD_COOLDOWN:0 "$COUNTRY$ can only ask an ally to trade Favors for gold once every $YEARS|Y$ years.\nThey will be able to do it again in $UNTIL|Y$."
 TRADE_FAVORS_FOR_MANPOWER_COOLDOWN:0 "$COUNTRY$ can only ask an ally to trade Favors for Manpower once every $YEARS|Y$ years.\nThey will be able to do it again in $UNTIL|Y$."
 TRADE_FAVORS_FOR_SAILORS_COOLDOWN:0 "$COUNTRY$ can only ask an ally to trade Favors for Sailors once every $YEARS|Y$ years.\nThey will be able to do it again in $UNTIL|Y$."
 REDUCE_RELATIONS_COOLDOWN:0 "$COUNTRY$ can only ask an ally to reduce relations with another country once every $YEARS|Y$ years.\nThey will be able to do it again in $UNTIL|Y$."
 DIPLO_SAILORS:0 "$WHO$ Sailors: "
 DIPLO_LOW_SAILORS:0 "$WHO$ has low Sailors: "
 DIPLO_RELATIVE_OPINION:0 "$WHO$ relative opinion of $COUNTRY01$ and $COUNTRY02$: "
 ENFORCE_PEACE_CANNOT_LEAGUE_WAR:0 "You cannot enforce peace in a Religious League War."
 CANNOT_MOVE_ALREADY_IN_PROGRESS:0 "The $GREATPROJECT|Y$ is already being moved to $PROVINCE|Y$"
 CANNOT_EXTEND_REGENCY_TOO_FAR_IN_FUTURE:0 "The Regency doesn't end until $DATE$, wait until there's less than a year to go."
 HAS_REFORM_ON_LEVEL:0 "Has a level $LEVEL|Y$ Government Reform.\n"
 HAS_NOT_REFORM_ON_LEVEL:1 "Has no level $LEVEL|Y$ Government Reform.\n"
 CURRENT_GURU_IS:0 "Current Guru is "
 CURRENT_GURU_IS_NOT:0 "Current Guru is NOT "
 CHANGE_TRIBAL_OWNER_EFFECT:0 "$WHO|Y$ takes $WHERE|Y$ as their Tribal Land.\n"
 mechanic_enable_settled_mechanics_no:0 "Cannot settle into tribal land"
 mechanic_enable_tribal_grazing_yes:0 "Can graze on land causing devastation"
 PROVINCE197CATALAN:0 "Rosselló"
 PROVINCE208CATALAN:0 "Lleó"
 PROVINCE221CATALAN:0 "Múrcia"
 PROVINCE224CATALAN:0 "Sibília"
 PROVINCE225CATALAN:0 "Còrdova"
 PROVINCE366CATALAN:0 "Gran Canària"
 PROVINCE1745CATALAN:0 "Cantàbria"
 PROVINCE1747CATALAN:0 "Càceres"
 PROVINCE2755CATALAN:0 "Sòria"
 PROVINCE4546CATALAN:0 "Màlaga"
 PROVINCE4551CATALAN:0 "Àvila"
 PROVINCE4552CATALAN:0 "Palència"
 PROVINCE4788CATALAN:0 "Plasència"
 PROVINCE4789CATALAN:0 "Segòvia"
 PROVINCE14CATALAN:0 "Fiònia"
 PROVINCE50CATALAN:0 "Berlín"
 PROVINCE78CATALAN:0 "Magúncia"
 PROVINCE80CATALAN:0 "Trèveris"
 PROVINCE82CATALAN:0 "Westfàlia"
 PROVINCE85CATALAN:0 "Colònia"
 PROVINCE92CATALAN:0 "Brussel·les"
 PROVINCE101CATALAN:0 "Gènova"
 PROVINCE102CATALAN:0 "Niça"
 PROVINCE103CATALAN:0 "Torí"
 PROVINCE104CATALAN:0 "Milà"
 PROVINCE106CATALAN:0 "Mòdena"
 PROVINCE109CATALAN:0 "Màntua"
 PROVINCE111CATALAN:0 "Friül"
 PROVINCE112CATALAN:0 "Venècia"
 PROVINCE116CATALAN:0 "Florença"
 PROVINCE120CATALAN:0 "Abruços"
 PROVINCE121CATALAN:0 "Nàpols"
 PROVINCE123CATALAN:0 "Calàbria"
 PROVINCE127CATALAN:0 "Sàsser"
 PROVINCE132CATALAN:0 "Estíria"
 PROVINCE142CATALAN:0 "Corfú"
 PROVINCE160CATALAN:0 "Oltènia"
 PROVINCE169CATALAN:0 "Armòrica"
 PROVINCE183CATALAN:0 "París"
 PROVINCE184CATALAN:0 "Orleanès"
 PROVINCE185CATALAN:0 "Llemosí"
 PROVINCE190CATALAN:0 "Borbonès"
 PROVINCE191CATALAN:0 "Nivernès"
 PROVINCE192CATALAN:0 "Dijonès"
 PROVINCE199CATALAN:0 "Alvèrnia"
 PROVINCE202CATALAN:0 "Avinyó"
 PROVINCE203CATALAN:0 "Lionès"
 PROVINCE205CATALAN:0 "Chambèri"
 PROVINCE247CATALAN:0 "Cúmbria"
 PROVINCE257CATALAN:0 "Varsòvia"
 PROVINCE262CATALAN:0 "Cracòvia"
 PROVINCE269CATALAN:0 "Podlàquia"
 PROVINCE279CATALAN:0 "Volínia"
 PROVINCE368CATALAN:0 "Òrcades"
 PROVINCE373CATALAN:0 "Dublín"
 PROVINCE1247CATALAN:0 "Còrsega"
 PROVINCE1744CATALAN:0 "Antuèrpia"
 PROVINCE1760CATALAN:0 "Coblença"
 PROVINCE1764CATALAN:0 "Burgàs"
 PROVINCE1767CATALAN:0 "Eslavònia"
 PROVINCE1934CATALAN:0 "Lucània"
 PROVINCE1979CATALAN:0 "Fèroe"
 PROVINCE1851CATALAN:0 "Coïmbra"
 PROVINCE1878CATALAN:0 "Aquisgrà"
 PROVINCE2750CATALAN:0 "Plòvdiv"
 PROVINCE2975CATALAN:0 "Clèveris"
 PROVINCE2986CATALAN:0 "Càller"
 PROVINCE4112CATALAN:0 "Carcí"
 PROVINCE4391CATALAN:0 "Vivarès"
 PROVINCE4528CATALAN:0 "Cuiàvia"
 PROVINCE4696CATALAN:0 "Toló"
 PROVINCE4727CATALAN:0 "Saluça"
 PROVINCE4729CATALAN:0 "Pàdua"
 PROVINCE4736CATALAN:0 "Tràpani"
 PROVINCE4739CATALAN:0 "Bèrgam"
 PROVINCE1986CATALAN:0 "Nova Caledònia"
 PROVINCE4379IRISH:0 "Uí Failghe"
 PROVINCE4365IRISH:0 "Oileán Mhanann"
 PROVINCE239IRISH:0 "Cúntóir"
 PROVINCE4374IRISH:0 "Tiomnaíonn"
 PROVINCE235IRISH:0 "Cloch Tíre"
 PROVINCE238IRISH:0 "Ó Dheas"
 PROVINCE4370IRISH:0 "Éagobhsaí"
 PROVINCE1861IRISH:0 "Pháirc An Cheobhráin"
 CANNOT_MIGRATE_COOLDOWN:0 "Cannot migrate again until $DATE|Y$"
 cb_force_tributary_mission:0 "Force Tributary State"
 cb_force_tributary_mission_desc:0 "We will force them to become a Tributary State."
 take_capital_force_tributary:0 "Take the capital"
 take_capital_force_tributary_desc:0 "War goal is to take the capital."
 SUBJECT_EFFECTS_TOOLTIP:0 "And the following effects on the $SUBJECTTYPE|Y$:"
 MAPMODE_GREAT_PROJECTS:0 "Great Projects"
 MAPMODE_GREAT_PROJECTS_DESC:0 "Displays where Great Projects are located. The brighter green, the more splendid the Great Project(s) at that location."
 MAPMODE_GREAT_PROJECTS_TT:0 "$PROVINCE|Y$ has the following Great Projects:"
 MAPMODE_GREAT_PROJECTS_TT_ENTRY:0 "$GREATPROJECT|Y$: $TIERDESC$"
 MAPMODE_GREAT_PROJECTS_TT_NONE:0 "$PROVINCE|Y$ doesn't have any Great Projects."
 GREAT_PROJECT_DESTROYED:0 "Destroyed in $DATE$"
 MAY_DRILL:0 "Can Drill Armies"
 MAY_DRILL_SHORT:0 "Can Drill"
 EStopMissionReason_TechDoesntAllowIt:0 "You do not have the required Technology."
 COASTAL_SEA_DESC:0 "This is a coast, Galleys will be slightly more effective here, doing 50% more damage in combat against other non-Galleys."
 MAPMODE_RELIGIOUS_LEAGUES:0 "Religious Leagues"
 MAPMODE_RELIGIOUS_LEAGUES_DESC:0 "Displays which countries belong to which Religious League. Green countries belong to the HRE Religious league, and Blue countries belong to the Heretic league."
 LEAGUE_MEMBER_DESC:0 "$COUNTRY|Y$ is in the HRE Religious League"
 federation_cohesion_maxed_out_instant:0 "§YFederation Cohesion has reached maximum value.§!"
 federation_cohesion_maxed_out_delayed:0 "Click to view your Federation and any possible advancements that can be made."
 PEACEOFFER_TRADING_CITIES_CANNOT_TAKE_PROVINCES:0 "Trading Cities cannot take Provinces."
 PEACEOFFER_TRADING_CITIES_CANNOT_HAVE_SUBJECTS:0 "Trading Cities cannot have Subjects."
 FREE_POLICY_EXPLANATION:0 "This policy will be available for no cost."
 TUT_ADV_CHAPTER01_PAGE04a_TITLE:0 "Corruption"
 TUT_ADV_CHAPTER01_PAGE04a_TEXT:0 "Corruption represents the level of corruption in your nation. Corruption is connected to §MUnrest§!, §MSpy Network Construction§!, §MPower Costs§! and more.\n\nCorruption increases over time due to §Munbalanced research§!, §MOverextension§! and lack of §MReligious Unity§!. It can be decreased by high §MStability§! and being ahead of time in §MAdministrative§! or §MDiplomatic§! technology..\n"
 TUT_ADV_CHAPTER01_PAGE04a_OBJECTIVES:0 "Click §MNext§! to continue."
 PERPETUAL_DIET_LOCATION:0 "Perpetual Diet Location"
 MODIFIER_YEARLY_DOOM_REDUCTION:0 "Yearly Doom Reduction"
 REFUSED_REGENCY:0 "Refused the Regency"
 REFUSED_PRIVILEGE:0 "Denied a Privilege"
 REGENCY_SLUR:0 "Slurred by current Regency"
 native_seasonal_travel_reform_warning:0 "§RAll settled provinces except the capital will revert to being Tribal Land and your capital will then be allowed to migrate.§!"
